Processor: Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz | CPU: 2793.406 | RAM: 61815180 kB
First run (create cache files)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.11.
NetteDatabase   | ~2.1.0          | Time:  1.241 s | Memory: 11.7 MB | PHP: 7.1.11
NetteDatabase   | ~2.2.0          | Time:  1.283 s | Memory: 11.9 MB | PHP: 7.1.11
NetteDatabase   | ~2.3.0          | Time:  1.130 s | Memory: 13.6 MB | PHP: 7.1.11
NetteDatabase   | ~2.4.0          | Time:  3.645 s | Memory: 12.3 MB | PHP: 7.1.11
NetteDatabase   | dev-master      | Time:  3.456 s | Memory: 12.3 MB | PHP: 7.1.11
Nextras\Orm     | ~1.1.0          | Time:  2.113 s | Memory: 18.1 MB | PHP: 7.1.11
YetORM          | ~8.0.0          | Time:  3.583 s | Memory: 13.0 MB | PHP: 7.1.11
LeanMapper      | ~2.2.0          | Time:  1.265 s | Memory: 10.6 MB | PHP: 7.1.11
NotORM          | dev-master      | Time:  4.386 s | Memory:  7.3 MB | PHP: 7.1.11
Doctrine2       | ~2.4.0          | Time: 15.417 s | Memory: 18.0 MB | PHP: 7.1.11


Second run (use cache)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.11.
NetteDatabase   | ~2.1.0          | Time:  1.361 s | Memory:  9.6 MB | PHP: 7.1.11
NetteDatabase   | ~2.2.0          | Time:  1.132 s | Memory:  9.7 MB | PHP: 7.1.11
NetteDatabase   | ~2.3.0          | Time:  1.206 s | Memory: 11.4 MB | PHP: 7.1.11
NetteDatabase   | ~2.4.0          | Time:  3.789 s | Memory: 10.0 MB | PHP: 7.1.11
NetteDatabase   | dev-master      | Time:  4.868 s | Memory: 10.7 MB | PHP: 7.1.11
Nextras\Orm     | ~1.1.0          | Time:  1.659 s | Memory: 17.9 MB | PHP: 7.1.11
YetORM          | ~8.0.0          | Time:  3.549 s | Memory: 10.7 MB | PHP: 7.1.11
LeanMapper      | ~2.2.0          | Time:  1.155 s | Memory: 10.6 MB | PHP: 7.1.11
NotORM          | dev-master      | Time:  3.909 s | Memory:  7.3 MB | PHP: 7.1.11
Doctrine2       | ~2.4.0          | Time: 12.594 s | Memory: 16.3 MB | PHP: 7.1.11



