NDB 2.1      | Nette: 2.1.9    | Time:  0.997 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.2      | NDB: ~2.2.0     | Time:  1.006 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.3      | NDB: ~2.3.0     | Time:  1.124 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.261 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NotORM       | NotORM: dev-master | Time:  0.603 s | Memory:  4.0 MB | PHP: 5.6.99-hhvm
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.289 s | Memory:  6.0 MB | PHP: 5.6.99-hhvm
Doctrine2    | Doctrine: 2.4.2 | Time:  3.302 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NDB 2.0      | Nette: 2.0.18   | Time: 12.769 s | Memory: 18.2 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.116 s | Memory: 17.2 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.166 s | Memory: 16.9 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.300 s | Memory: 19.1 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.370 s | Memory: 19.1 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  4.830 s | Memory: 13.2 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.098 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time: 15.691 s | Memory: 37.1 MB | PHP: 5.5.21



NDB 2.0      | Nette: 2.0.18   | Time: 13.382 s | Memory: 15.7 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.210 s | Memory: 14.6 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.193 s | Memory: 14.3 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.296 s | Memory: 16.6 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.338 s | Memory: 16.5 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  5.063 s | Memory: 13.2 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.349 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time:  6.858 s | Memory: 35.1 MB | PHP: 5.5.21
NDB 2.0      | Nette: 2.0.18   | Time: 14.731 s | Memory: 18.3 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.285 s | Memory: 17.2 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.297 s | Memory: 16.9 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.393 s | Memory: 19.1 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.369 s | Memory: 19.1 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.891 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.283 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time: 18.343 s | Memory: 37.2 MB | PHP: 5.6.5



NDB 2.0      | Nette: 2.0.18   | Time: 15.103 s | Memory: 15.8 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.228 s | Memory: 14.6 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.194 s | Memory: 14.3 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.312 s | Memory: 16.6 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.344 s | Memory: 16.6 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.848 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.171 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time:  5.828 s | Memory: 35.2 MB | PHP: 5.6.5
NDB 2.0      | Nette: 2.0.18   | Time: 18.088 s | Memory: 18.2 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.541 s | Memory: 17.1 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.519 s | Memory: 16.8 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.661 s | Memory: 19.1 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.639 s | Memory: 19.1 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  5.975 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.532 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time: 21.180 s | Memory: 37.1 MB | PHP: 5.4.37



NDB 2.0      | Nette: 2.0.18   | Time: 18.664 s | Memory: 15.7 MB | PHP: 5.4.37
NDB 2.1      | Nette: 2.1.9    | Time:  1.504 s | Memory: 14.6 MB | PHP: 5.4.37
NDB 2.2      | NDB: ~2.2.0     | Time:  1.475 s | Memory: 14.3 MB | PHP: 5.4.37
NDB 2.3      | NDB: ~2.3.0     | Time:  1.613 s | Memory: 16.5 MB | PHP: 5.4.37
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.591 s | Memory: 16.5 MB | PHP: 5.4.37
NotORM       | NotORM: dev-master | Time:  6.038 s | Memory: 13.2 MB | PHP: 5.4.37
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.521 s | Memory: 16.8 MB | PHP: 5.4.37
Doctrine2    | Doctrine: 2.4.2 | Time:  7.333 s | Memory: 35.1 MB | PHP: 5.4.37
NDB 2.0      | Nette: 2.0.18   | Time:  2.270 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.1      | Nette: 2.1.9    | Time:  1.158 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.2      | NDB: ~2.2.0     | Time:  1.075 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.3      | NDB: ~2.3.0     | Time:  1.247 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.157 s | Memory: 10.0 MB | PHP: 5.6.99-hhvm
NotORM       | NotORM: dev-master | Time:  0.510 s | Memory:  4.0 MB | PHP: 5.6.99-hhvm
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.092 s | Memory:  6.0 MB | PHP: 5.6.99-hhvm
Doctrine2    | Doctrine: 2.4.2 | Time: 16.620 s | Memory: 12.0 MB | PHP: 5.6.99-hhvm



NDB 2.0      | Nette: 2.0.18   | Time:  2.175 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.1      | Nette: 2.1.9    | Time:  1.030 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.2      | NDB: ~2.2.0     | Time:  0.940 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.3      | NDB: ~2.3.0     | Time:  0.990 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.041 s | Memory:  8.0 MB | PHP: 5.6.99-hhvm
