Processor: Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz | CPU: 2800.301 | RAM: 61829552 kB
First run (create cache files)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.7.
NetteDatabase   | ~2.1.0          | Time:  0.930 s | Memory: 11.7 MB | PHP: 7.1.7
NetteDatabase   | ~2.2.0          | Time:  1.046 s | Memory: 11.9 MB | PHP: 7.1.7
NetteDatabase   | ~2.3.0          | Time:  0.941 s | Memory: 13.5 MB | PHP: 7.1.7
NetteDatabase   | ~2.4.0          | Time:  2.168 s | Memory: 12.3 MB | PHP: 7.1.7
NetteDatabase   | dev-master      | Time:  2.234 s | Memory: 12.2 MB | PHP: 7.1.7
Nextras\Orm     | ~1.1.0          | Time:  1.440 s | Memory: 18.0 MB | PHP: 7.1.7
YetORM          | ~8.0.0          | Time:  2.451 s | Memory: 13.0 MB | PHP: 7.1.7
LeanMapper      | ~2.2.0          | Time:  0.884 s | Memory: 10.6 MB | PHP: 7.1.7
NotORM          | dev-master      | Time:  2.904 s | Memory:  7.3 MB | PHP: 7.1.7
Doctrine2       | ~2.4.0          | Time:  9.360 s | Memory: 18.0 MB | PHP: 7.1.7


Second run (use cache)
Skip: NetteDatabase (~2.0.0) needs <7.0.0, current version is 7.1.7.
NetteDatabase   | ~2.1.0          | Time:  1.019 s | Memory:  9.6 MB | PHP: 7.1.7
NetteDatabase   | ~2.2.0          | Time:  1.039 s | Memory:  9.6 MB | PHP: 7.1.7
NetteDatabase   | ~2.3.0          | Time:  1.099 s | Memory: 11.3 MB | PHP: 7.1.7
NetteDatabase   | ~2.4.0          | Time:  2.179 s | Memory: 10.0 MB | PHP: 7.1.7
NetteDatabase   | dev-master      | Time:  2.616 s | Memory:  9.9 MB | PHP: 7.1.7
Nextras\Orm     | ~1.1.0          | Time:  1.119 s | Memory: 17.9 MB | PHP: 7.1.7
YetORM          | ~8.0.0          | Time:  2.453 s | Memory: 10.7 MB | PHP: 7.1.7
LeanMapper      | ~2.2.0          | Time:  0.913 s | Memory: 10.6 MB | PHP: 7.1.7
NotORM          | dev-master      | Time:  2.705 s | Memory:  7.3 MB | PHP: 7.1.7
Doctrine2       | ~2.4.0          | Time:  1.558 s | Memory: 16.3 MB | PHP: 7.1.7



